MG[4],MG[3],MG[2],MG[1],MG[0],MG[1]
1.18995,1.18426,1.17345,1.1597,1.14578,1.13513
1.18426,1.17345,1.1597,1.14578,1.13513,1.13147
1.17345,1.1597,1.14578,1.13513,1.13147,1.13764
1.1597,1.14578,1.13513,1.13147,1.13764,1.15423
1.14578,1.13513,1.13147,1.13764,1.15423,1.17866
1.13513,1.13147,1.13764,1.15423,1.17866,1.2052
1.13147,1.13764,1.15423,1.17866,1.2052,1.22639
1.13764,1.15423,1.17866,1.2052,1.22639,1.23592
1.15423,1.17866,1.2052,1.22639,1.23592,1.23157
1.17866,1.2052,1.22639,1.23592,1.23157,1.21569
1.2052,1.22639,1.23592,1.23157,1.21569,1.19324
1.22639,1.23592,1.23157,1.21569,1.19324,1.16952
1.23592,1.23157,1.21569,1.19324,1.16952,1.14868
1.23157,1.21569,1.19324,1.16952,1.14868,1.133
1.21569,1.19324,1.16952,1.14868,1.133,1.12265
1.19324,1.16952,1.14868,1.133,1.12265,1.11573
1.16952,1.14868,1.133,1.12265,1.11573,1.10872
1.14868,1.133,1.12265,1.11573,1.10872,1.09703
1.133,1.12265,1.11573,1.10872,1.09703,1.07623
1.12265,1.11573,1.10872,1.09703,1.07623,1.04391
1.11573,1.10872,1.09703,1.07623,1.04391,1.00114
1.10872,1.09703,1.07623,1.04391,1.00114,0.951483
1.09703,1.07623,1.04391,1.00114,0.951483,0.899045
1.07623,1.04391,1.00114,0.951483,0.899045,0.847186
1.04391,1.00114,0.951483,0.899045,0.847186,0.798304
1.00114,0.951483,0.899045,0.847186,0.798304,0.754035
0.951483,0.899045,0.847186,0.798304,0.754035,0.71549
0.899045,0.847186,0.798304,0.754035,0.71549,0.683383
0.847186,0.798304,0.754035,0.71549,0.683383,0.657997
0.798304,0.754035,0.71549,0.683383,0.657997,0.638967
0.754035,0.71549,0.683383,0.657997,0.638967,0.624944
0.71549,0.683383,0.657997,0.638967,0.624944,0.61343
0.683383,0.657997,0.638967,0.624944,0.61343,0.601216
0.657997,0.638967,0.624944,0.61343,0.601216,0.585515
0.638967,0.624944,0.61343,0.601216,0.585515,0.565141
0.624944,0.61343,0.601216,0.585515,0.565141,0.540914
0.61343,0.601216,0.585515,0.565141,0.540914,0.515028
0.601216,0.585515,0.565141,0.540914,0.515028,0.490059
0.585515,0.565141,0.540914,0.515028,0.490059,0.468337
0.565141,0.540914,0.515028,0.490059,0.468337,0.451705
0.540914,0.515028,0.490059,0.468337,0.451705,0.441366
0.515028,0.490059,0.468337,0.451705,0.441366,0.437646
0.490059,0.468337,0.451705,0.441366,0.437646,0.439834
0.468337,0.451705,0.441366,0.437646,0.439834,0.446365
0.451705,0.441366,0.437646,0.439834,0.446365,0.455442
0.441366,0.437646,0.439834,0.446365,0.455442,0.465831
0.437646,0.439834,0.446365,0.455442,0.465831,0.477498
0.439834,0.446365,0.455442,0.465831,0.477498,0.491999
0.446365,0.455442,0.465831,0.477498,0.491999,0.512578
0.455442,0.465831,0.477498,0.491999,0.512578,0.543618
0.465831,0.477498,0.491999,0.512578,0.543618,0.588801
0.477498,0.491999,0.512578,0.543618,0.588801,0.648254
0.491999,0.512578,0.543618,0.588801,0.648254,0.717116
0.512578,0.543618,0.588801,0.648254,0.717116,0.787734
0.543618,0.588801,0.648254,0.717116,0.787734,0.853435
0.588801,0.648254,0.717116,0.787734,0.853435,0.91044
0.648254,0.717116,0.787734,0.853435,0.91044,0.957634
0.717116,0.787734,0.853435,0.91044,0.957634,0.995577
0.787734,0.853435,0.91044,0.957634,0.995577,1.02565
0.853435,0.91044,0.957634,0.995577,1.02565,1.04944
0.91044,0.957634,0.995577,1.02565,1.04944,1.06836
0.957634,0.995577,1.02565,1.04944,1.06836,1.08329
0.995577,1.02565,1.04944,1.06836,1.08329,1.09447
1.02565,1.04944,1.06836,1.08329,1.09447,1.10157
1.04944,1.06836,1.08329,1.09447,1.10157,1.10407
1.06836,1.08329,1.09447,1.10157,1.10407,1.10161
1.08329,1.09447,1.10157,1.10407,1.10161,1.09432
1.09447,1.10157,1.10407,1.10161,1.09432,1.08282
1.10157,1.10407,1.10161,1.09432,1.08282,1.06816
1.10407,1.10161,1.09432,1.08282,1.06816,1.05165
1.10161,1.09432,1.08282,1.06816,1.05165,1.03474
1.09432,1.08282,1.06816,1.05165,1.03474,1.01877
1.08282,1.06816,1.05165,1.03474,1.01877,1.00484
1.06816,1.05165,1.03474,1.01877,1.00484,0.993598
1.05165,1.03474,1.01877,1.00484,0.993598,0.985291
1.03474,1.01877,1.00484,0.993598,0.985291,0.979884
1.01877,1.00484,0.993598,0.985291,0.979884,0.977336
1.00484,0.993598,0.985291,0.979884,0.977336,0.97792
0.993598,0.985291,0.979884,0.977336,0.97792,0.982516
0.985291,0.979884,0.977336,0.97792,0.982516,0.992743
0.979884,0.977336,0.97792,0.982516,0.992743,1.01064
0.977336,0.97792,0.982516,0.992743,1.01064,1.03755
0.97792,0.982516,0.992743,1.01064,1.03755,1.07224
0.982516,0.992743,1.01064,1.03755,1.07224,1.10929
0.992743,1.01064,1.03755,1.07224,1.10929,1.14001
1.01064,1.03755,1.07224,1.10929,1.14001,1.15689
1.03755,1.07224,1.10929,1.14001,1.15689,1.15737
1.07224,1.10929,1.14001,1.15689,1.15737,1.1434
1.10929,1.14001,1.15689,1.15737,1.1434,1.11871
1.14001,1.15689,1.15737,1.1434,1.11871,1.08694
1.15689,1.15737,1.1434,1.11871,1.08694,1.05099
1.15737,1.1434,1.11871,1.08694,1.05099,1.01306
1.1434,1.11871,1.08694,1.05099,1.01306,0.974903
1.11871,1.08694,1.05099,1.01306,0.974903,0.938088
1.08694,1.05099,1.01306,0.974903,0.938088,0.904099
1.05099,1.01306,0.974903,0.938088,0.904099,0.87435
1.01306,0.974903,0.938088,0.904099,0.87435,0.850117
0.974903,0.938088,0.904099,0.87435,0.850117,0.832444
0.938088,0.904099,0.87435,0.850117,0.832444,0.822022
0.904099,0.87435,0.850117,0.832444,0.822022,0.819048
0.87435,0.850117,0.832444,0.822022,0.819048,0.823119
0.850117,0.832444,0.822022,0.819048,0.823119,0.833239
0.832444,0.822022,0.819048,0.823119,0.833239,0.847975
0.822022,0.819048,0.823119,0.833239,0.847975,0.865727
0.819048,0.823119,0.833239,0.847975,0.865727,0.88497
0.823119,0.833239,0.847975,0.865727,0.88497,0.904384
0.833239,0.847975,0.865727,0.88497,0.904384,0.922833
0.847975,0.865727,0.88497,0.904384,0.922833,0.939213
0.865727,0.88497,0.904384,0.922833,0.939213,0.952186
0.88497,0.904384,0.922833,0.939213,0.952186,0.959856
0.904384,0.922833,0.939213,0.952186,0.959856,0.95959
0.922833,0.939213,0.952186,0.959856,0.95959,0.948475
0.939213,0.952186,0.959856,0.95959,0.948475,0.924903
0.952186,0.959856,0.95959,0.948475,0.924903,0.890471
0.959856,0.95959,0.948475,0.924903,0.890471,0.849856
0.95959,0.948475,0.924903,0.890471,0.849856,0.808572
0.948475,0.924903,0.890471,0.849856,0.808572,0.771287
0.924903,0.890471,0.849856,0.808572,0.771287,0.741609
0.890471,0.849856,0.808572,0.771287,0.741609,0.72242
0.849856,0.808572,0.771287,0.741609,0.72242,0.716019
0.808572,0.771287,0.741609,0.72242,0.716019,0.723907
0.771287,0.741609,0.72242,0.716019,0.723907,0.74626
0.741609,0.72242,0.716019,0.723907,0.74626,0.781447
0.72242,0.716019,0.723907,0.74626,0.781447,0.826109
0.716019,0.723907,0.74626,0.781447,0.826109,0.875977
0.723907,0.74626,0.781447,0.826109,0.875977,0.927041
0.74626,0.781447,0.826109,0.875977,0.927041,0.976361
0.781447,0.826109,0.875977,0.927041,0.976361,1.02228
0.826109,0.875977,0.927041,0.976361,1.02228,1.06415
0.875977,0.927041,0.976361,1.02228,1.06415,1.10195
0.927041,0.976361,1.02228,1.06415,1.10195,1.13581
0.976361,1.02228,1.06415,1.10195,1.13581,1.16573
1.02228,1.06415,1.10195,1.13581,1.16573,1.19141
1.06415,1.10195,1.13581,1.16573,1.19141,1.2123
1.10195,1.13581,1.16573,1.19141,1.2123,1.22778
1.13581,1.16573,1.19141,1.2123,1.22778,1.23741
1.16573,1.19141,1.2123,1.22778,1.23741,1.24114
1.19141,1.2123,1.22778,1.23741,1.24114,1.23947
1.2123,1.22778,1.23741,1.24114,1.23947,1.23361
1.22778,1.23741,1.24114,1.23947,1.23361,1.22563
1.23741,1.24114,1.23947,1.23361,1.22563,1.21854
1.24114,1.23947,1.23361,1.22563,1.21854,1.21605
1.23947,1.23361,1.22563,1.21854,1.21605,1.22131
1.23361,1.22563,1.21854,1.21605,1.22131,1.23477
1.22563,1.21854,1.21605,1.22131,1.23477,1.25334
1.21854,1.21605,1.22131,1.23477,1.25334,1.27247
1.21605,1.22131,1.23477,1.25334,1.27247,1.28878
1.22131,1.23477,1.25334,1.27247,1.28878,1.30112
1.23477,1.25334,1.27247,1.28878,1.30112,1.31011
1.25334,1.27247,1.28878,1.30112,1.31011,1.3174
1.27247,1.28878,1.30112,1.31011,1.3174,1.32494
1.28878,1.30112,1.31011,1.3174,1.32494,1.33411
1.30112,1.31011,1.3174,1.32494,1.33411,1.34475
1.31011,1.3174,1.32494,1.33411,1.34475,1.3542
1.3174,1.32494,1.33411,1.34475,1.3542,1.35716
1.32494,1.33411,1.34475,1.3542,1.35716,1.34767
1.33411,1.34475,1.3542,1.35716,1.34767,1.32216
1.34475,1.3542,1.35716,1.34767,1.32216,1.28096
1.3542,1.35716,1.34767,1.32216,1.28096,1.22722
1.35716,1.34767,1.32216,1.28096,1.22722,1.16504
1.34767,1.32216,1.28096,1.22722,1.16504,1.09821
1.32216,1.28096,1.22722,1.16504,1.09821,1.02977
1.28096,1.22722,1.16504,1.09821,1.02977,0.962028
1.22722,1.16504,1.09821,1.02977,0.962028,0.896687
1.16504,1.09821,1.02977,0.962028,0.896687,0.834973
1.09821,1.02977,0.962028,0.896687,0.834973,0.777757
1.02977,0.962028,0.896687,0.834973,0.777757,0.725641
0.962028,0.896687,0.834973,0.777757,0.725641,0.679014
0.896687,0.834973,0.777757,0.725641,0.679014,0.638042
0.834973,0.777757,0.725641,0.679014,0.638042,0.602581
0.777757,0.725641,0.679014,0.638042,0.602581,0.571979
0.725641,0.679014,0.638042,0.602581,0.571979,0.544913
0.679014,0.638042,0.602581,0.571979,0.544913,0.519558
0.638042,0.602581,0.571979,0.544913,0.519558,0.494333
0.602581,0.571979,0.544913,0.519558,0.494333,0.468625
0.571979,0.544913,0.519558,0.494333,0.468625,0.442744
0.544913,0.519558,0.494333,0.468625,0.442744,0.417364
0.519558,0.494333,0.468625,0.442744,0.417364,0.393087
0.494333,0.468625,0.442744,0.417364,0.393087,0.370261
0.468625,0.442744,0.417364,0.393087,0.370261,0.348969
0.442744,0.417364,0.393087,0.370261,0.348969,0.329068
0.417364,0.393087,0.370261,0.348969,0.329068,0.310307
0.393087,0.370261,0.348969,0.329068,0.310307,0.2925
0.370261,0.348969,0.329068,0.310307,0.2925,0.275708
0.348969,0.329068,0.310307,0.2925,0.275708,0.260365
0.329068,0.310307,0.2925,0.275708,0.260365,0.24731
0.310307,0.2925,0.275708,0.260365,0.24731,0.237842
0.2925,0.275708,0.260365,0.24731,0.237842,0.233926
0.275708,0.260365,0.24731,0.237842,0.233926,0.238588
0.260365,0.24731,0.237842,0.233926,0.238588,0.256286
0.24731,0.237842,0.233926,0.238588,0.256286,0.292496
0.237842,0.233926,0.238588,0.256286,0.292496,0.351226
0.233926,0.238588,0.256286,0.292496,0.351226,0.430698
0.238588,0.256286,0.292496,0.351226,0.430698,0.521857
0.256286,0.292496,0.351226,0.430698,0.521857,0.61305
0.292496,0.351226,0.430698,0.521857,0.61305,0.695642
0.351226,0.430698,0.521857,0.61305,0.695642,0.76556
0.430698,0.521857,0.61305,0.695642,0.76556,0.822035
0.521857,0.61305,0.695642,0.76556,0.822035,0.866029
0.61305,0.695642,0.76556,0.822035,0.866029,0.899186
0.695642,0.76556,0.822035,0.866029,0.899186,0.923237
0.76556,0.822035,0.866029,0.899186,0.923237,0.939644
0.822035,0.866029,0.899186,0.923237,0.939644,0.949443
0.866029,0.899186,0.923237,0.939644,0.949443,0.953279
0.899186,0.923237,0.939644,0.949443,0.953279,0.951628
0.923237,0.939644,0.949443,0.953279,0.951628,0.944989
0.939644,0.949443,0.953279,0.951628,0.944989,0.933949
